compte,lien,n,nom,pseudo,score,id,bio,date,annee,mois,jour,date2,annee-mois
RadioQuebec,suivi par,24079,Kvn,Kvn,0,e7617328bdcd7a7d8cfad3b51498ae87,,20181210062412,2018,12,10,2018-12-10,2018-12
RadioQuebec,suivi par,10302,drwoken,drwoken,1,bb074e859fd87ec596f9285bd91b893b,conservative logic liker pro guns pro life against fake news,20181210063004,2018,12,10,2018-12-10,2018-12
RadioQuebec,suivi par,21409,Stevenduguay,Stevenduguay,12,fa8267415612b9696bf49e17c4f3c29e,,20181210115024,2018,12,10,2018-12-10,2018-12
RadioQuebec,suivi par,10662,AllezFrance,AllezFrance,113,994e427d3797dfac5e9d074f71aac647,,20181210172331,2018,12,10,2018-12-10,2018-12
RadioQuebec,suivi par,21969,Ricfmaher,Ricfmaher,0,9d1743bcb67f111ef1786d2549e70026,,20181210184758,2018,12,10,2018-12-10,2018-12
RadioQuebec,suivi par,2407,Be_Courageous,becourageous,5,62444f4e67b04257b431d20578f33326,,20181210212144,2018,12,10,2018-12-10,2018-12
RadioQuebec,suivi par,23002,vincent.jappi,vincent.jappi,14,301e0f749212ba88db79c1a2caf094cd,,20181210232233,2018,12,10,2018-12-10,2018-12
RadioQuebec,suivi par,9950,Msourdif40,sourdifmonique,196,b786b599505dd49a3e4acf019537058c,A great grandmother of 3...Canadian 🇨🇦 loves animals..loves President Donald Trump...he is saving the world🌎❤️🇨🇦🇺🇸👍🏻 Make Canada Great Again 🇨🇦 MAGA 🇺🇸,20181211004922,2018,12,11,2018-12-11,2018-12
RadioQuebec,suivi par,20542,Matt Cornillault,mc,47,69ed2f765addaf481a79a741e5037558,entrepreneur,20181211053808,2018,12,11,2018-12-11,2018-12
RadioQuebec,suivi par,9915,TiCat63,ticat63,0,193016de236af39eea5b21757554be0f,,20181211172130,2018,12,11,2018-12-11,2018-12
RadioQuebec,suivi par,20341,3MIKE,3MIKE,74,32b8676c1865b640af332acb4b0935e6,Q : Où allons nous / Where are we going.,20181212001537,2018,12,12,2018-12-12,2018-12
RadioQuebec,suivi par,15781,OutOfMany:One,johnqalt,35,2becb9ad154e02aecd477cfe1c55369c,,20181212031904,2018,12,12,2018-12-12,2018-12
RadioQuebec,suivi par,24354,SabbyTabbyCat,Lilshawtycat,100,c56c6553dbb7ee73e1344677b9f99027,,20181212205835,2018,12,12,2018-12-12,2018-12
RadioQuebec,suivi par,20253,Christianrioux68,Christianrioux68,0,af55998d0cd0ff703c9601083d23dc63,,20181217222900,2018,12,17,2018-12-17,2018-12
RadioQuebec,suivi par,19921,Ldobija,Ldobija,2,38eb694b03ea397e9d52f49b5ceb58a8,,20181227181907,2018,12,27,2018-12-27,2018-12
RadioQuebec,suivi par,15988,Jérôme Lapointe ,jlapointe,0,d5250103aac34263b83454b6438b32f2,,20190313185157,2019,03,13,2019-03-13,2019-03
RadioQuebec,suivi par,19651,Bert Marcoux,bertrandmarcoux,31,bfef7933774946b9a0b8d56ea585a69b,"I aspire to inspire before I expire 
J'aspire à inspirer avant d'expirer
Following The Way / Suivre Le Chemin
Finding The Truth / Trouver La Vérité
Loving The Life / Aimer La Vie",20190414213435,2019,04,14,2019-04-14,2019-04
RadioQuebec,suivi par,18701,Mark,Zoomer58,78,fe6dc8b4883b42fcad46f0902ce66693,Trump follower,20190423120128,2019,04,23,2019-04-23,2019-04
RadioQuebec,suivi par,18686,Philip Bertrand,PhilipBertrand,49,c0387333a1904fb6b948046da6de208c,Québécois. Europhile. Traditionaliste.,20190505033442,2019,05,05,2019-05-05,2019-05
RadioQuebec,suivi par,19241,NicolasNilsen,NicolasNilsen,0,d693b523bfda4c39b734b9ba9165d0ea,Later,20190507145358,2019,05,07,2019-05-07,2019-05
RadioQuebec,suivi par,6327,Patrick Hunout,Phunout,98,d88a47f45c8048a9afffc99a66bd98c6,Dr. Hunout is the President and Founder of The Social Capital Foundation. ,20190528212720,2019,05,28,2019-05-28,2019-05
RadioQuebec,suivi par,23212,MonicaLamitraille,MonicaLamitraille,179,0bad894df82a4af8b07b24aafa74af23,,20190528234603,2019,05,28,2019-05-28,2019-05
RadioQuebec,suivi par,23044,Tonyouy,Tonyouy,0,94a81ab3395d44fdabf997f72d371a67,,20190529003441,2019,05,29,2019-05-29,2019-05
RadioQuebec,suivi par,22996,Jcollins,Jcollins,563,6d04e3fb72cd4aebac3e46bf8f8fc16c,Supporter of 2A- slayer of liberals- stock market slinger- conservative patriot- supporter of our armed forces and law enforcement- Love POTUS Donald J Trump! ,20190529033211,2019,05,29,2019-05-29,2019-05
RadioQuebec,suivi par,2306,Nico,spider,0,bc13b7b278eb47f9b6eb12538dbeb2ce,"Tech, Crypto, Sports, Travel",20190529065228,2019,05,29,2019-05-29,2019-05
RadioQuebec,suivi par,19048,Canadamike,Magcanada,47,af11e4dc8d584dbf8d89ffd52210d509,,20190529115817,2019,05,29,2019-05-29,2019-05
RadioQuebec,suivi par,18120,claude champagne Patriot on GAB,claudec,8.8k,6f6bc7b6bd66437ca955a516a632813e,"PATRIOT 1656 2 brothers soldiers from France cross to colonize and protect la Nouvelle France, family ancestors from Quebec, Illinois, Montana all related from these two brothers",20190529214432,2019,05,29,2019-05-29,2019-05
RadioQuebec,suivi par,21228,Honesty9338,Honesty9338,553,6e32bedeacf24047ad7ac54f4e792899,,20190529235248,2019,05,29,2019-05-29,2019-05
RadioQuebec,suivi par,17642,Siorac #italydidit,Siorac,389,d40cee6de207487c947e7342709f999e,"The Democrats stole the 2020 Presidential election and many committed treason. Congress no longer represent us. We the people demand the truth and justice.
Trump is still my President 🇺🇸🇫🇷",20190530012335,2019,05,30,2019-05-30,2019-05
RadioQuebec,suivi par,21933,Franckly Me,Yarackchell,126,7778edf4232e4a9bb87ce224690aaa0f,,20190530043118,2019,05,30,2019-05-30,2019-05
RadioQuebec,suivi par,10861,Curiousgeorge,Curious42728843,0,cf06be62387945638c980db4eb26b69e,,20190530155810,2019,05,30,2019-05-30,2019-05
RadioQuebec,suivi par,23273,lysa,pala,2,4c5ff802eaca4ce4b57b6d83dc1c6f63,,20190530213919,2019,05,30,2019-05-30,2019-05
RadioQuebec,suivi par,20308,Marcko PPC,Marcko,394,85c227e5b50a4b8094af6a6bb682f4e2,warrior in Jesus army. Quebecois patriots 😎 #Trump. #MAGA .#MaximeBernie just a patriot making meme follow me on Twitter @marckovvvvv,20190530223941,2019,05,30,2019-05-30,2019-05
RadioQuebec,suivi par,2915,niclariviere,niclariviere,5,cadd11c056b54da2834911dd32e8b7a6,"Trader, maker and geek",20190531025940,2019,05,31,2019-05-31,2019-05
RadioQuebec,suivi par,9173,CanadianSheepdog,CanadianSheepdog,138,cd314e68542c49b48c3d12d210948042,Canadian Patriot / Alpha Male / Sheep Dog / Pro-Bernier / Pro-Trump / Pro-General Flynn / Pro-American and Proud of it #MAGA #QAnon #PPC #WWG1WGA,20190531054312,2019,05,31,2019-05-31,2019-05
RadioQuebec,suivi par,22007,Jennie,JennieNat,1,e1347c8674cd43d38d8b9bcd2b5ef25b,,20190531115843,2019,05,31,2019-05-31,2019-05
