niveau,circ,rôle,nomComplet,prénom,nom,genre,parti,courriel,photo,source
CA,Abbotsford,MP,Ed Fast,Ed,Fast,M,Conservative,ed.fast@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/FastEd_CPC.jpg,https://www.ourcommons.ca/Members/en/ed-fast(35904)
CA,AbitibiBaie-JamesNunavikEeyou,MP,Sylvie Bérubé,Sylvie,Bérubé,F,Bloc Québécois,Sylvie.Berube@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BérubéSylvie_BQ.jpg,https://www.ourcommons.ca/Members/en/sylvie-berube(104622)
CA,AbitibiTémiscamingue,MP,Sébastien Lemire,Sébastien,Lemire,M,Bloc Québécois,Sebastien.Lemire@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/LemireSébastien_BQ.jpg,https://www.ourcommons.ca/Members/en/sebastien-lemire(104630)
CA,AcadieBathurst,MP,Serge Cormier,Serge,Cormier,M,Liberal,Serge.Cormier@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/CormierSerge_Lib.jpg,https://www.ourcommons.ca/Members/en/serge-cormier(88350)
CA,Ahuntsic-Cartierville,MP,Mélanie Joly,Mélanie,Joly,F,Liberal,Melanie.Joly@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/JolyMélanie_Lib.jpg,https://www.ourcommons.ca/Members/en/melanie-joly(88384)
CA,Ajax,MP,Mark Holland,Mark,Holland,M,Liberal,Mark.Holland@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/HollandMark_Lib.jpg,https://www.ourcommons.ca/Members/en/mark-holland(25508)
CA,Alfred-Pellan,MP,Angelo Iacono,Angelo,Iacono,M,Liberal,Angelo.Iacono@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/IaconoAngelo_Lib.jpg,https://www.ourcommons.ca/Members/en/angelo-iacono(71337)
CA,AlgomaManitoulinKapuskasing,MP,Carol Hughes,Carol,Hughes,F,NDP,carol.hughes@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/HughesCarol_NDP.jpg,https://www.ourcommons.ca/Members/en/carol-hughes(31289)
CA,ArgenteuilLa Petite-Nation,MP,Stéphane Lauzon,Stéphane,Lauzon,M,Liberal,Stephane.Lauzon@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/LauzonStéphane_Lib.jpg,https://www.ourcommons.ca/Members/en/stephane-lauzon(88394)
CA,AuroraOak RidgesRichmond Hill,MP,Leona Alleslev,Leona,Alleslev,F,Conservative,Leona.Alleslev@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/AlleslevLeona_CPC.jpg,https://www.ourcommons.ca/Members/en/leona-alleslev(88671)
CA,Avalon,MP,Ken McDonald,Ken,McDonald,M,Liberal,Ken.McDonald@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/McDonaldKen_Lib.jpg,https://www.ourcommons.ca/Members/en/ken-mcdonald(88283)
CA,AvignonLa MitisMataneMatapédia,MP,Kristina Michaud,Kristina,Michaud,F,Bloc Québécois,Kristina.Michaud@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/MichaudKristina_BQ.jpg,https://www.ourcommons.ca/Members/en/kristina-michaud(104648)
CA,BanffAirdrie,MP,Blake Richards,Blake,Richards,M,Conservative,blake.richards@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/RichardsBlake_CPC.jpg,https://www.ourcommons.ca/Members/en/blake-richards(59235)
CA,BarrieInnisfil,MP,John Brassard,John,Brassard,M,Conservative,John.Brassard@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BrassardJohn_CPC.jpg,https://www.ourcommons.ca/Members/en/john-brassard(88674)
CA,BarrieSpringwaterOro-Medonte,MP,Doug Shipley,Doug,Shipley,M,Conservative,Doug.Shipley@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/ShipleyDoug_CPC.jpg,https://www.ourcommons.ca/Members/en/doug-shipley(105031)
CA,Battle RiverCrowfoot,MP,Damien C. Kurek,Damien C.,Kurek,M,Conservative,Damien.Kurek@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/KurekDamien_CPC.jpg,https://www.ourcommons.ca/Members/en/damien-c-kurek(105614)
CA,BattlefordsLloydminster,MP,Rosemarie Falk,Rosemarie,Falk,F,Conservative,Rosemarie.Falk@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/FalkRosemarie_CPC.jpg,https://www.ourcommons.ca/Members/en/rosemarie-falk(98749)
CA,Bay of Quinte,MP,Neil R. Ellis,Neil R.,Ellis,M,Liberal,Neil.Ellis@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/EllisNeil_Lib.jpg,https://www.ourcommons.ca/Members/en/neil-r-ellis(88683)
CA,BeachesEast York,MP,Nathaniel Erskine-Smith,Nathaniel,Erskine-Smith,M,Liberal,Nathaniel.Erskine-Smith@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/ErskineSmithNathaniel_Lib.jpg,https://www.ourcommons.ca/Members/en/nathaniel-erskine-smith(88687)
CA,Beauce,MP,Richard Lehoux,Richard,Lehoux,M,Conservative,Richard.Lehoux@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/LehouxRichard_CPC.jpg,https://www.ourcommons.ca/Members/en/richard-lehoux(104653)
CA,BeauportCôte-de-BeaupréÎle d'OrléansCharlevoix,MP,Caroline Desbiens,Caroline,Desbiens,F,Bloc Québécois,Caroline.Desbiens@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/DesbiensCaroline_BQ.jpg,https://www.ourcommons.ca/Members/en/caroline-desbiens(104715)
CA,BeauportLimoilou,MP,Julie Vignola,Julie,Vignola,F,Bloc Québécois,Julie.Vignola@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/VignolaJulie_BQ.jpg,https://www.ourcommons.ca/Members/en/julie-vignola(104656)
CA,Beauséjour,MP,Dominic LeBlanc,Dominic,LeBlanc,M,Liberal,dominic.leblanc@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/LeblancDominic_Lib.jpg,https://www.ourcommons.ca/Members/en/dominic-leblanc(1813)
CA,BellechasseLes EtcheminsLévis,MP,Steven Blaney,Steven,Blaney,M,Conservative,steven.blaney@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BlaneySteven_CPC.jpg,https://www.ourcommons.ca/Members/en/steven-blaney(35389)
CA,BeloeilChambly,MP,Yves-François Blanchet,Yves-François,Blanchet,M,Bloc Québécois,Yves-Francois.Blanchet@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BlanchetYvesFrançois_BQ.jpg,https://www.ourcommons.ca/Members/en/yves-francois-blanchet(104669)
CA,BerthierMaskinongé,MP,Yves Perron,Yves,Perron,M,Bloc Québécois,Yves.Perron@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/PerronYves_BQ.jpg,https://www.ourcommons.ca/Members/en/yves-perron(88418)
CA,BonavistaBurinTrinity,MP,Churence Rogers,Churence,Rogers,M,Liberal,Churence.Rogers@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/RogersChurence_Lib.jpg,https://www.ourcommons.ca/Members/en/churence-rogers(98744)
CA,Bourassa,MP,Emmanuel Dubourg,Emmanuel,Dubourg,M,Liberal,Emmanuel.Dubourg@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/DubourgEmmanuel_Lib.jpg,https://www.ourcommons.ca/Members/en/emmanuel-dubourg(84660)
CA,Bow River,MP,Martin Shields,Martin,Shields,M,Conservative,Martin.Shields@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/ShieldsMartin_CPC.jpg,https://www.ourcommons.ca/Members/en/martin-shields(89109)
CA,Brampton Centre,MP,Ramesh Sangha,Ramesh,Sangha,M,Liberal,Ramesh.Sangha@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SanghaRamesh_Lib.jpg,https://www.ourcommons.ca/Members/en/ramesh-sangha(88692)
CA,Brampton East,MP,Maninder Sidhu,Maninder,Sidhu,M,Liberal,Maninder.Sidhu@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SidhuManinder_Lib.jpg,https://www.ourcommons.ca/Members/en/maninder-sidhu(105045)
CA,Brampton North,MP,Ruby Sahota,Ruby,Sahota,F,Liberal,Ruby.Sahota@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SahotaRuby_Lib.jpg,https://www.ourcommons.ca/Members/en/ruby-sahota(88698)
CA,Brampton South,MP,Sonia Sidhu,Sonia,Sidhu,F,Liberal,Sonia.Sidhu@parl.gc.ca,https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SidhuSonia_Lib.jpg,https://www.ourcommons.ca/Members/en/sonia-sidhu(88703)
